"PIN","PARTYPE","ZVALUE","UPDATE","MAJOR","MINOR","PRES_USE","PRES_USE_D","PROP_TYPE","LOT_SQFT","PLAT_LOT","PLAT_BLOCK","PLAT_NAME","TAXPAYER","HOUSE","ADDRS_FULL","PU_CAT_DES","ADDRS_ST","PROP_NAME","PARCL_AREA","DEV_AREA","BLDG_SF","LU","LU_DETAIL","ZONING","ZONE_CAT","PUB_OR_PRI","HOUS_UNITS","YR_BUILT","SF_PR_UNIT","STS_RES_DV","BLT_FAR","MAX_RS_FAR","MAX_FAR","MAX_FAR_SF","POT_UNITS","IMP_VAL_15","LND_VAL_15","TOT_VAL_15","FAR_FACTOR","UNDER_DEV","REC_LEVEL","SCORE_1","SCORE_1DA","SCORE_1PA","SCORE_1DB","SCORE_1PB","RLTIONSHIP","SCORE_2","SCORE_2DA","SCORE_2PA","SCORE_2DB","SCORE_2PB","WILL_SELL","SCORE_3","SCORE_3DA","SCORE_3PA","SCORE_3DB","SCORE_3PB","POT_UNIT52","SCORE_D1","SCORE_D1DA","SCORE_D1DB","CST_UNIT_D","SCORE_D2","SCORE_D2DA","SCORE_D2DB","NO_BLDG","SCORE_D3","SCORE_D3DA","SCORE_D3DB","HIST_BLDG","SCORE_P1","SCORE_P1PA","SCORE_P1PB","VCNT_BLDG","SCORE_P2","SCORE_P2PA","SCORE_P2PB","CST_UNIT_P","SCORE_P3","SCORE_P3PA","SCORE_P3PB","COND_CMBND","SCORE_P4","SCORE_P4PA","SCORE_P4PB","INDEX_D_A","INDEX_D_B","INDEX_P_A","INDEX_P_B","INDEX_PM","ERROR_DO","ERROR_PM","FILTER_DO","FILTER_PO","NEW_S_1DB","NEW_S_2DB","NEW_S_3DB","NEW_S_D1DB","NEW_S_D2DB","NEW_S_D3DB","NEW_S_1PB","NEW_S_2PB","NEW_S_3PB","NEW_S_P1PB","NEW_S_P2PB","NEW_S_P3PB","NEW_S_P4PB","NEW_IDX_DB","NEW_IDX_PB"
"5247801985","PL",NA,NA,"524780","1985",16,"Apartment(Mixed Use)","C",5400,"5","42","MAYNARDS D S PLAT","HON JOE LLC","614","614       S  JACKSON                   ST      98104","Mixed Use","614  S JACKSON ST","FAR EAST BUILDING",5405,5405,20108,"Commercial/Mixed-Use","Apartment(Mixed Use)","IDM-75-85","IDM","PRIVATE",0,1973,180,"HISTORIC",3.7,6,6,32430,32,2422500,648000,3070500,"6",NA,"N",0.75,NA,10.71,NA,10.23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,23,1,NA,NA,113617,0,NA,NA,NA,0,NA,NA,"HISTORIC - both",1,14.29,18.18,NA,0,0,0,146214,0.75,10.71,10.23,0.6,0.75,10.71,10.23,NA,NA,46.42,48.87,NA,NA,NA,"STS_RES_DV =  HISTORIC","",NA,NA,NA,NA,NA,NA,10.23,0,0,18.18,0,10.23,10.23,NA,48.87
"3644600000","PL",NA,NA,"364460","0000",25,"Condominium(Mixed Use)","K",5400,"UNIT A",NA,"JACKSON HOTEL",NA,"664","664       S  JACKSON                   ST      98104","Mixed Use","664  S JACKSON ST","JACKSON HOTEL CONDOMINIUM",5404,5404,14686,"Commercial/Mixed-Use","Condominium(Mixed Use)","IDM-75-85","IDM","PRIVATE",17,1950,180,"HISTORIC",2.7,6,6,32424,32,1012800,648000,1660800,"6",NA,"N",0.75,NA,10.71,NA,10.23,"yes",1,NA,14.29,NA,13.63,NA,0,NA,0,NA,0,23,1,NA,NA,61466,0,NA,NA,NA,0,NA,NA,"HISTORIC - both",1,14.29,18.18,NA,0,0,0,118629,0.75,10.71,10.23,0.6,0.75,10.71,10.23,NA,NA,60.71,62.5,NA,NA,NA,"STS_RES_DV =  HISTORIC","",NA,NA,NA,NA,NA,NA,10.23,13.63,0,18.18,0,10.23,10.23,NA,62.5
"3320000140","PL",NA,NA,"332000","0140",159,"Parking(Assoc)","C",1500,"15","16","HILL TRACT ADD SUPL","PHO PHAMILY I LLC",NA,NA,"Parking","S JACKSON ST","PARKING",1598,1598,0,"Commercial/Mixed-Use","Parking(Assoc)","DMR/C 65/65-85","DMR","PRIVATE",0,0,300,"REDEV",0,5.5,5.5,8789,9,0,160500,160500,"5.5",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,6,0,0,0,21914,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,25,28.96,NA,NA,NA,NA,NA,"","LU_DETAIL =  Parking(Assoc); BLDG_SF =  0",0,0,0,0,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,28.96,NA
"8809700000","PL",NA,NA,"880970","0000",25,"Condominium(Mixed Use)","K",338749,NA,NA,"UNION STATION",NA,"401","401       S  JACKSON                   ST      98104","Mixed Use","401  S JACKSON ST","UNION STATION CONDOMINIUM-",337094,337094,1374337,"Commercial/Mixed-Use","Condominium(Mixed Use)","IDM-65-150","IDM","PRIVATE",0,2000,0,"HISTORIC",4.1,0,0,204121,195,222816700,45730700,268547400,"0",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-111,0,NA,NA,1578754,0,NA,NA,NA,0,NA,NA,"HISTORIC - DPD",1,NA,NA,NA,0,NA,NA,201764,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STS_RES_DV =  HISTORIC","MANUAL FILTER = UNION STATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3320000135","PL",NA,NA,"332000","0135",159,"Parking(Assoc)","C",1175,"14","16","HILL TRACT ADD SUPL","PHO PHAMILY I LLC",NA,NA,"Parking","S JACKSON ST","PARKING",1386,1386,0,"Commercial/Mixed-Use","Parking(Assoc)","DMR/C 65/65-85","DMR","PRIVATE",0,0,300,"REDEV",0,5.5,5.5,7623,8,0,128300,128300,"5.5",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,5,0,0,0,20197,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,25,28.96,NA,NA,NA,NA,NA,"","LU_DETAIL =  Parking(Assoc); BLDG_SF =  0",0,0,0,0,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,28.96,NA
"3320000111","PL",NA,NA,"332000","0111",171,"Restaurant(Fast Food)","C",770,"8-9-10-11-12","16","HILL TRACT ADD SUPL","PHO PHAMILY I LLC","1254","1254      S  JACKSON                   ST      98144","Retail/Service","1254  S JACKSON ST","PHO-BAC RESTAURANT",1096,1096,313,"Commercial/Mixed-Use","Restaurant/Lounge","DMR/C 65/65-85","DMR","PRIVATE",0,1990,300,"REDEV",0.3,5.5,5.5,6028,6,1000,105100,106100,"5.5",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,4,0,0,0,21121,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,1,NA,NA,8.33,7.9,NA,NA,NA,NA,NA,"","LU_DETAIL =  Restaurant/Lounge; BLDG_SF =  313",0,0,0,0,7.9,0,NA,NA,NA,NA,NA,NA,NA,7.9,NA
"5247801615","PL",NA,NA,"524780","1615",106,"Office Building","C",5400,"1","34","MAYNARDS D S PLAT","CATHAY INVESTMENT LLC","501","501       S  JACKSON                   ST      98104","Office","501  S JACKSON ST","BUTY BUILDING",5409,5409,15640,"Commercial/Mixed-Use","Office Building","IDM-75-85","IDM","PRIVATE",0,1970,180,"HISTORIC",2.9,6,6,32454,32,1779000,648000,2427000,"6",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,23,1,NA,NA,89739,0,NA,NA,NA,0,NA,NA,"HISTORIC - both",1,NA,NA,NA,0,NA,NA,173357,0.5,NA,NA,0.6,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STS_RES_DV =  HISTORIC","LU_DETAIL =  Office Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801640","PL",NA,NA,"524780","1640",162,"Bank","C",19800,"6-7-8","34","MAYNARDS D S PLAT","C AND H FAMILY LIMITED PART","525","525       S  JACKSON                   ST      98104","Retail/Service","525  S JACKSON ST","BANK OF AMERICA",19831,19831,6120,"Commercial/Mixed-Use","Bank","IDM-75-85","IDM","PRIVATE",0,1964,180,"REDEV",0.3,6,6,118986,119,676300,2376000,3052300,"6","Y",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,83,0.75,NA,NA,30783,0.5,NA,NA,NA,0,NA,NA,"HISTORIC - SCIDpda",1,NA,NA,"N",0,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,60,NA,"Y","HIST_BLDG =  HISTORIC - SCIDpda","LU_DETAIL =  Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801925","PL",NA,NA,"524780","1925",162,"Bank","C",13680,"1-2-3","41","MAYNARDS D S PLAT","OWN REAL PROPERTY","601","601       S  JACKSON                   ST      98104","Retail/Service","601  S JACKSON ST","WASHINGTON FEDERAL",13683,13683,8664,"Commercial/Mixed-Use","Bank","IDM-75-85","IDM","PRIVATE",0,1986,180,"DEVELOPED",0.6,6,6,82098,82,1086500,1641600,2728100,"6","Y","N",0.75,12.5,NA,11.85,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,57,0.75,12.5,7.9,39876,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,"N",0,NA,NA,248009,0,NA,NA,1,1,NA,NA,33.33,27.65,NA,NA,60,NA,NA,"","LU_DETAIL =  Bank",11.85,0,0,7.9,7.9,0,NA,NA,NA,NA,NA,NA,NA,27.65,NA
"1275150000","PL",NA,NA,"127515","0000",25,"Condominium(Mixed Use)","K",13440,NA,NA,"BUSH HOTEL 2",NA,NA,NA,"Mixed Use",NA,"BUSH HOTEL 2",14281,14281,75187,"Commercial/Mixed-Use","Condominium(Mixed Use)","IDM-75-85","IDM","PRIVATE",94,1973,180,"HISTORIC",5.3,6,6,85686,86,8725300,1612700,10338000,"6",NA,"N",0.75,NA,10.71,NA,10.23,"yes",1,NA,14.29,NA,13.63,NA,0,NA,0,NA,0,60,0.75,NA,NA,144780,0,NA,NA,NA,0,NA,NA,"HISTORIC - both",1,14.29,18.18,NA,0,0,0,137840,0.75,10.71,10.23,0.6,0.75,10.71,10.23,NA,NA,60.71,62.5,NA,NA,NA,"STS_RES_DV =  HISTORIC","",NA,NA,NA,NA,NA,NA,10.23,13.63,0,18.18,0,10.23,10.23,NA,62.5
"5247802295","PL",NA,NA,"524780","2295",16,"Apartment(Mixed Use)","C",8160,"1-2","48","MAYNARDS D S PLAT","C & T","400","400          MAYNARD                   AVE  S  98104","Mixed Use","400   MAYNARD AVE S","EVERGREEN HOTEL BUILDING",8159,8159,21600,"Commercial/Mixed-Use","Apartment(Mixed Use)","IDM-75-85","IDM","PRIVATE",16,1980,180,"HISTORIC",2.6,6,6,48954,49,2051900,979200,3031100,"6",NA,"N",0.75,NA,10.71,NA,10.23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,34,1,NA,NA,74301,0,NA,NA,NA,0,NA,NA,"HISTORIC - both",1,14.29,18.18,NA,0,0,0,144338,0.75,10.71,10.23,0.6,0.75,10.71,10.23,NA,NA,46.42,48.87,NA,NA,NA,"STS_RES_DV =  HISTORIC","",NA,NA,NA,NA,NA,NA,10.23,0,0,18.18,0,10.23,10.23,NA,48.87
"5247802335","PL",NA,NA,"524780","2335",106,"Office Building","C",5400,"8","48","MAYNARDS D S PLAT","CHIN L W & T M TODA","667","667       S  JACKSON                   ST      98104","Office","667  S JACKSON ST","CHIN & TODA OFFICE BLDG",5399,5399,11520,"Commercial/Mixed-Use","Office Building","IDM-75-85","IDM","PRIVATE",0,1970,180,"HISTORIC",2.1,6,6,32394,32,1108000,648000,1756000,"6",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,22,1,NA,NA,65049,0,NA,NA,NA,0,NA,NA,"HISTORIC - both",1,NA,NA,NA,0,NA,NA,250857,0,NA,NA,0.6,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STS_RES_DV =  HISTORIC","LU_DETAIL =  Office Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247802725","PL",NA,NA,"524780","2725",186,"Service Station","C",13440,"1-2","55","MAYNARDS D S PLAT","DOTT MAR INC","701","701       S  JACKSON                   ST      98104","Retail/Service","701  S JACKSON ST","AUTO REPAIR",13439,13439,6794,"Commercial/Mixed-Use","Service Station","IDM-75-85","IDM","PRIVATE",0,1960,180,"HISTORIC",0.5,6,6,80634,81,1000,1612800,1613800,"6","Y","Y",1,NA,NA,NA,NA,"yes",1,NA,NA,NA,NA,"yes",1,NA,NA,NA,NA,56,0.75,NA,NA,24017,0.5,NA,NA,NA,0,NA,NA,"HISTORIC - both",1,NA,NA,"N",0,NA,NA,179311,0.5,NA,NA,0.95,1,NA,NA,NA,NA,NA,NA,60,NA,"Y","STS_RES_DV =  HISTORIC","LU_DETAIL =  Service Station",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247802755","PL",NA,NA,"524780","2755",183,"Restaurant/Lounge","C",13440,"7-8","55","MAYNARDS D S PLAT","BRLD L L C","409","409          8TH                       AVE  S  98104","Retail/Service","409   8TH AVE S","HOUSE OF HONG",13437,13437,11794,"Commercial/Mixed-Use","Restaurant/Lounge","IDM-75-85","IDM","PRIVATE",0,1988,180,"DEVELOPED",0.9,6,6,80622,81,1651500,1612800,3264300,"6","Y",NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,21.06,NA,56,0.75,12.5,7.9,48587,0,0,0,NA,0,0,0,NA,0,NA,NA,"N",0,NA,NA,204019,0,NA,NA,0.6,0.75,NA,NA,29.17,28.96,NA,NA,60,NA,NA,"","LU_DETAIL =  Restaurant/Lounge",0,0,21.06,7.9,0,0,NA,NA,NA,NA,NA,NA,NA,28.96,NA
"5391600080","PL",NA,NA,"539160","0080",180,"Parking(Commercial Lot)","C",83900,NA,"3-4","MC NAUGHTS ADD","WA STATE DOT",NA,NA,"Parking","805  S JACKSON ST","PARKING LOT",82814,82814,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDM-75-85","IDM","PUBLIC",0,0,180,"PUBLIC",0,6,6,476182,476,0,4195000,4195000,"6",NA,"N",0.75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,328,0.75,NA,NA,10572,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STS_RES_DV =  PUBLIC; MANUAL FILTER = Under I-5","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5391600085","PL",NA,NA,"539160","0085",180,"Parking(Commercial Lot)","C",2310,"4-5","3","MC NAUGHTS ADD","LEE PO & YU L",NA,NA,"Parking","8TH AVE S","PARKING LOT- VACANT LOT (SAME OWNERSHIP TO ACCOUNT",2912,2912,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDM-75-85","IDM","PRIVATE",0,0,180,"REDEV",0,6,6,17472,17,0,277200,277200,"6",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12,0,NA,NA,19038,1,NA,NA,NA,0,NA,NA,"HISTORIC - SCIDpda",1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIST_BLDG =  HISTORIC - SCIDpda","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5391600145","PL",NA,NA,"539160","0145",309,"Vacant(Commercial)","C",3240,"4-5","4","MC NAUGHTS ADD","RICHLAND CORP",NA,NA,"Vacant","S JACKSON ST","VACANT",3146,3146,0,"Vacant","Vacant(Commercial)","DMR/C 65/65-85","DMR","PRIVATE",0,0,300,"VACANT",0,5.5,5.5,17303,17,0,307800,307800,"5.5",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,21.06,NA,12,0,0,0,21347,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,41.67,50.02,NA,NA,NA,"Y",NA,"","LU_DETAIL =  Vacant(Commercial); BLDG_SF =  0",0,0,21.06,0,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,50.02,NA
"5391600140","PL",NA,NA,"539160","0140",223,"Industrial(Gen Purpose)","C",11751,"3-4-5 & 7-8","4","MC NAUGHTS ADD","RICHLAND CORP","913","913       S  JACKSON                   ST      98104","Industrial","913  S JACKSON ST","Van Produce",8714,8714,5880,"Industrial","Warehouse","DMR/C 65/65-85","DMR","PRIVATE",0,1947,300,"REDEV",0.7,5.5,5.5,47927,48,1000,837200,838200,"5.5","Y","N",0.75,12.5,NA,11.85,NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,21.06,NA,33,1,16.67,10.53,20987,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,"N",0,NA,NA,104775,0.75,NA,NA,0.95,1,NA,NA,54.17,51.34,NA,NA,60,NA,NA,"","LU_DETAIL =  Warehouse",11.85,0,21.06,10.53,7.9,0,NA,NA,NA,NA,NA,NA,NA,51.34,NA
"5391600130","PL",NA,NA,"539160","0130",183,"Restaurant/Lounge","C",11760,"1-2","4","MC NAUGHTS ADD","RICHLAND CORP","923","923       S  JACKSON                   ST      98104","Retail/Service","923  S JACKSON ST","Wing Wa Bistro Restaurant",11760,11760,1008,"Commercial/Mixed-Use","Restaurant/Lounge","DMR/C 65/65-85","DMR","PRIVATE",0,1980,300,"REDEV",0.1,5.5,5.5,64680,65,1000,1117200,1118200,"5.5","Y","Y",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,21.06,NA,44,1,16.67,10.53,20746,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,1,1,NA,NA,58.34,55.28,NA,NA,60,NA,NA,"","LU_DETAIL =  Restaurant/Lounge",15.79,0,21.06,10.53,7.9,0,NA,NA,NA,NA,NA,NA,NA,55.28,NA
"8170100005","PL",NA,NA,"817010","0005",195,"Warehouse","C",11250,"1 & 21-22","1","SYNDICATE ADD","HOUR SHU-DONG+MON-LING HOUR","1001","1001      S  JACKSON                   ST      98104","Terminal/Warehouse","1001  S JACKSON ST","WHOLESALE/MFG/WHSE",11227,11227,17250,"Industrial","Warehouse","DMR/C 65/65-85","DMR","PRIVATE",0,1940,300,"REDEV",1.5,5.5,5.5,61748,62,1000,1068700,1069700,"5.5","Y","N",0.75,12.5,NA,11.85,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,42,1,16.67,10.53,20788,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,"N",0,NA,NA,71313,1,NA,NA,1,1,NA,NA,54.17,46.07,NA,NA,60,NA,NA,"","LU_DETAIL =  Warehouse",11.85,15.79,0,10.53,7.9,0,NA,NA,NA,NA,NA,NA,NA,46.07,NA
"8170100010","PL",NA,NA,"817010","0010",195,"Warehouse","C",5250,"2","1","SYNDICATE ADD","HOUR SHU-DONG+MON-LING HOUR",NA,NA,"Terminal/Warehouse","S JACKSON ST","IMPS ON MINOR 0005",5251,5251,0,"Industrial","Warehouse","DMR/C 65/65-85","DMR","PRIVATE",0,0,300,"REDEV",0,5.5,5.5,28880,29,0,498700,498700,"5.5","Y",NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,20,1,16.67,10.53,20722,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,41.67,39.49,NA,NA,60,NA,NA,"","LU_DETAIL =  Warehouse; BLDG_SF =  0",0,0,0,10.53,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,39.49,NA
"8170100015","PL",NA,NA,"817010","0015",159,"Parking(Assoc)","C",8250,"3-4","1","SYNDICATE ADD","COHO REAL ESTATE",NA,NA,"Parking","1011  S JACKSON ST","VACANT LAND (PARKING LOT TO ACCTS #817010-0020 & #",8322,8322,0,"Commercial/Mixed-Use","Parking(Assoc)","DMR/C 65/65-85","DMR","PRIVATE",0,0,300,"REDEV",0,5.5,5.5,45771,46,0,783700,783700,"5.5","Y",NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,21.06,NA,31,1,16.67,10.53,20547,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,58.34,60.55,NA,NA,60,NA,NA,"","LU_DETAIL =  Parking(Assoc); BLDG_SF =  0",0,0,21.06,10.53,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,60.55,NA
"8170100020","PL",NA,NA,"817010","0020",101,"Retail Store","C",2250,"4","1","SYNDICATE ADD","COHO REAL ESTATE","1019","1019      S  JACKSON                   ST      98104","Retail/Service","1019  S JACKSON ST","RETAIL/OFFICE BUILDING (INCLUES ACCTS #817010-0015",2250,2250,4500,"Commercial/Mixed-Use","Retail Store","DMR/C 65/65-85","DMR","PRIVATE",2,1932,300,"DEVELOPED",2,5.5,5.5,12375,12,302700,213700,516400,"5.5","Y",NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,21.06,NA,8,0,0,0,50075,0,0,0,NA,0,0,0,NA,0,NA,NA,"N",0,NA,NA,172133,0.5,NA,NA,1,1,NA,NA,16.67,21.06,NA,NA,60,NA,NA,"","LU_DETAIL =  Retail Store",0,0,21.06,0,0,0,NA,NA,NA,NA,NA,NA,NA,21.06,NA
"5247801620","PL",NA,NA,"524780","1620",101,"Retail Store","C",14400,"2-3","34","MAYNARDS D S PLAT","IMPERIAL RICHFIELD CO","404","404          5TH                       AVE  S  98104","Retail/Service","404   5TH AVE S","Retail & Garage",14423,14423,14400,"Commercial/Mixed-Use","Retail Store","IDM-75-85","IDM","PRIVATE",0,1960,180,"REDEV",1,6,6,86538,87,1000,1728000,1729000,"6",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,60,0.75,NA,NA,23976,0.5,NA,NA,NA,0,NA,NA,"HISTORIC - SCIDpda",1,NA,NA,NA,0,NA,NA,91000,1,NA,NA,0.55,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIST_BLDG =  HISTORIC - SCIDpda","LU_DETAIL =  Retail Store",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8170100025","PL",NA,NA,"817010","0025",195,"Warehouse","C",7350,"5-6","1","SYNDICATE ADD","POLACK VALERIE+POLACK JAMES",NA,NA,"Terminal/Warehouse",NA,"ACME POULTRY & EGG CO",7456,7456,6720,"Industrial","Warehouse","DMR/C 65/65-85","DMR","PRIVATE",0,1919,300,"REDEV",0.9,5.5,5.5,41008,41,1000,698200,699200,"5.5","Y",NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,"yes",1,16.67,NA,21.06,NA,28,1,16.67,10.53,20460,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,"Y",0,NA,NA,77689,1,NA,NA,0.95,1,NA,NA,75.01,76.34,NA,NA,60,NA,NA,"","LU_DETAIL =  Warehouse",0,15.79,21.06,10.53,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,76.34,NA
"8170100030","PL",NA,NA,"817010","0030",309,"Vacant(Commercial)","C",3150,"6","1","SYNDICATE ADD","POLACK VALERIE+POLACK JAMES",NA,NA,"Vacant","S JACKSON ST","VACANT LOT",3209,3209,0,"Vacant","Vacant(Commercial)","DMR/C 65/65-85","DMR","PRIVATE",0,0,300,"VACANT",0,5.5,5.5,17650,18,0,299200,299200,"5.5",NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,12,0,0,0,20342,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,25,23.69,NA,NA,NA,NA,NA,"","LU_DETAIL =  Vacant(Commercial); BLDG_SF =  0",0,15.79,0,0,7.9,0,NA,NA,NA,NA,NA,NA,NA,23.69,NA
"8170100035","PL",NA,NA,"817010","0035",195,"Warehouse","C",5250,"7","1","SYNDICATE ADD","POLACK VALERIE+POLACK JAMES","1033","1033      S  JACKSON                   ST      98104","Terminal/Warehouse","1033  S JACKSON ST","WAREHOUSE",5368,5368,4400,"Industrial","Warehouse","DMR/C 65/65-85","DMR","PRIVATE",0,1918,300,"REDEV",0.8,5.5,5.5,29524,30,1000,498700,499700,"5.5",NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,"yes",1,16.67,NA,21.06,NA,20,1,16.67,10.53,20310,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,83283,1,NA,NA,0.95,1,NA,NA,58.34,55.28,NA,NA,NA,"Y",NA,"","LU_DETAIL =  Warehouse",0,15.79,21.06,10.53,7.9,0,NA,NA,NA,NA,NA,NA,NA,55.28,NA
"8170100040","PL",NA,NA,"817010","0040",159,"Parking(Assoc)","C",5250,"8","1","SYNDICATE ADD","POLACK VALERIE+POLACK JAMES",NA,NA,"Parking","S JACKSON ST","ADJACENT LEASED PARKING FOR JACKSON SHOPPING CENTE",5391,5391,0,"Commercial/Mixed-Use","Parking(Assoc)","DMR/C 65/65-85","DMR","PRIVATE",0,0,300,"REDEV",0,5.5,5.5,29650,30,0,498700,498700,"5.5",NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,20,1,16.67,10.53,20183,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,41.67,34.22,NA,NA,NA,NA,NA,"","LU_DETAIL =  Parking(Assoc); BLDG_SF =  0",0,15.79,0,10.53,7.9,0,NA,NA,NA,NA,NA,NA,NA,34.22,NA
"8170100045","PL",NA,NA,"817010","0045",96,"Retail(Line/Strip)","C",14291,"9 THRU 11","1","SYNDICATE ADD","ASIAN PACIFIC PROPERTIES LL","1043","1043      S  JACKSON                   ST      98104","Retail/Service","1043  S JACKSON ST","JACKSON SHOPPING CENTER",14126,14126,7200,"Commercial/Mixed-Use","Retail(Line/Strip)","DMR/C 65/65-85","DMR","PRIVATE",0,1989,300,"REDEV",0.5,5.5,5.5,77693,78,1000,1357600,1358600,"5.5","Y","N",0.75,12.5,NA,11.85,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,53,0.75,12.5,7.9,20984,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,"N",0,NA,NA,150956,0.5,NA,NA,1,1,NA,NA,50,43.44,NA,NA,60,NA,NA,"","LU_DETAIL =  Retail(Line/Strip)",11.85,15.79,0,7.9,7.9,0,NA,NA,NA,NA,NA,NA,NA,43.44,NA
